Date,TweetNumber
2015/06/12,5.396
2015/06/13,5.396
2015/06/14,6.424
2015/06/15,5.91
2015/06/16,7.324
2015/06/17,7.324
2015/06/18,12.848
2015/06/19,7.709
2015/06/20,7.324
2015/06/21,6.167
2015/06/22,6.296
2015/06/23,6.81
2015/06/24,6.039
2015/06/25,7.581
2015/06/26,6.296
2015/06/27,6.681
2015/06/28,6.553
2015/06/29,8.094
2015/06/30,9.508
2015/07/01,8.473
2015/07/02,8.131
2015/07/03,7.585
2015/07/04,7.585
2015/07/05,8.729
2015/07/06,9.125
2015/07/07,8.258
2015/07/08,8.826
2015/07/09,8.109
2015/07/10,8.815
2015/07/11,8.334
2015/07/12,9.393
2015/07/13,8.676
2015/07/14,8.002
2015/07/15,7.82
2015/07/16,7.842
2015/07/17,7.392
2015/07/18,7.553
2015/07/19,7.638
2015/07/20,6.75
2015/07/21,7.071
2015/07/22,7.178
2015/07/23,6.879
2015/07/24,6.814
2015/07/25,6.975
2015/07/26,7.232
2015/07/27,7.938
2015/07/28,7.36
2015/07/29,7.36
2015/07/30,6.654
2015/07/31,6.579
2015/08/01,10.689
2015/08/02,9.299
2015/08/03,7.803
2015/08/04,7.482
2015/08/05,7.268
2015/08/06,6.627
2015/08/07,6.841
2015/08/08,6.627
2015/08/09,6.734
2015/08/10,6.627
2015/08/11,7.161
2015/08/12,6.52
2015/08/13,6.948
2015/08/14,6.52
2015/08/15,6.413
2015/08/16,7.161
2015/08/17,6.948
2015/08/18,8.23
2015/08/19,9.727
2015/08/20,8.551
2015/08/21,8.123
2015/08/22,7.589
2015/08/23,8.337
2015/08/24,9.192
2015/08/25,9.406
2015/08/26,8.123
2015/08/27,7.268
2015/08/28,7.161
2015/08/29,7.055
2015/08/30,6.948
2015/08/31,6.627
2015/09/01,6.841
2015/09/02,6.841
2015/09/03,6.734
2015/09/04,6.841
2015/09/05,6.413
2015/09/06,6.841
2015/09/07,6.199
2015/09/08,6.841
2015/09/09,6.413
2015/09/10,6.52
2015/09/11,6.627
2015/09/12,6.199
2015/09/13,6.199
2015/09/14,6.413
2015/09/15,6.734
2015/09/16,6.841
2015/09/17,7.375
2015/09/18,7.482
2015/09/19,6.734
2015/09/20,6.52
2015/09/21,6.734
2015/09/22,7.482
2015/09/23,6.627
2015/09/24,6.841
2015/09/25,6.948
2015/09/26,6.627
2015/09/27,5.879
2015/09/28,6.199
2015/09/29,6.841
2015/09/30,6.948
2015/10/01,6.409
2015/10/02,6.114
2015/10/03,5.954
2015/10/04,6.4
2015/10/05,6.614
2015/10/06,6.952
2015/10/07,6.836
2015/10/08,6.845
2015/10/09,6.56
2015/10/10,6.355
2015/10/11,6.569
2015/10/12,7.068
2015/10/13,6.676
2015/10/14,6.569
2015/10/15,6.676
2015/10/16,6.774
2015/10/17,7.113
2015/10/18,6.943
2015/10/19,6.836
2015/10/20,7.389
2015/10/21,7.059
2015/10/22,8.182
